date,event,instrument,relevance_to_morocco,grade,source_ref
2013-02-21,"Law 39-12 on organic production of agricultural and aquatic products published in the Bulletin Officiel",Law 39-12 (Morocco),Morocco becomes the second African country with its own organic law,B,M39;M41
2018-09,"Law 39-12 enters effective application",Law 39-12 (Morocco),National BIO MAROC label and domestic control system become operative,B,M16
2021-12-16,"Implementing Regulation listing recognised equivalent third countries (Annex I) and recognised control bodies for equivalence (Annex II)",Reg. (EU) 2021/2325,"Morocco is NOT in Annex I. Its exporters operated through Annex II control bodies",B,E9;E8
2022-01-01,"Regulation (EU) 2018/848 becomes applicable, repealing Reg. (EC) 834/2007",Reg. (EU) 2018/848,Start of the three-year transition from equivalence to compliance,B,E12
2024-06-21,"First Article 46 compliance list of control bodies adopted (17 bodies, incl. Ecocert SAS)",Reg. (EU) 2024/1748 amending Reg. (EU) 2021/1378,The list Moroccan exporters' certifiers must appear on,B,E21
2024-12-31,"Article 2 of Reg. (EU) 2021/2325 ceases to apply - equivalence recognition of control bodies expires",Reg. (EU) 2021/2325,End of the route Moroccan exporters had used since 2008,B,E11;E14
2025-01-01,"Compliance regime applies: only Article 46-recognised bodies may certify third-country organic product, against full EU production rules",Reg. (EU) 2018/848 art. 46; Reg. (EU) 2021/1378,"The decisive date for Morocco. Equivalence to a local standard no longer suffices",B,E13;E15
2025-05-14,"Annex II of Reg. (EU) 2021/2325 declared obsolete and deleted",Reg. (EU) 2025/883,Formal closure of the equivalence-body route,B,E16
2025-10-21,"Further amendment of the Article 46 compliance list (adds AfriCert, Organic T&C, Q-Check, SAPS)",Reg. (EU) 2025/2138,Latest consolidated compliance list at the time of writing (consolidated 25 Oct 2025),B,E22;E20
2025-12-16,"Commission proposes extending recognition of the 11 equivalent third countries to 31 December 2036",COM(2025) 780 final,"Concerns Tunisia, not Morocco - Morocco was never on that list",B,E8;E17
2026-05-11,"Council agrees its negotiating position on the organic simplification package",Council of the EU,Shapes the post-2026 framework both Maghreb origins will operate under,B,E18
2026-12-31,"Recognition of the 11 Annex I equivalent third countries expires (absent the proposed extension)",Reg. (EU) 2021/2325 art. 1,"Tunisia's grandfathered advantage lapses; Morocco and Tunisia converge on the same compliance regime",B,E8
